Date,Shift,Milk Type,Kgs,Ltrs,Fat,SNF,Center Code
03-01-2021,PM,CM,131.26,,4.3,8.4,801
03-02-2021,PM,CM,137.48,,4.2,8.4,801
03-03-2021,PM,CM,67.38,,4.2,8.3,801
03-04-2021,PM,CM,148.83,,4.3,8.4,801
03-05-2021,PM,CM,77.77,,4.3,8.3,801
03-06-2021,PM,CM,107.48,,4.2,8.3,801
03-01-2021,PM,CM,50.68,,4.4,8.3,802
03-02-2021,PM,CM,56.12,,4.3,8.3,802
03-03-2021,PM,CM,43.5,,4.2,8.5,802
03-04-2021,PM,CM,49.22,,4.2,8.3,802
03-05-2021,PM,CM,46.21,,4.1,8.2,802
03-06-2021,PM,CM,39.42,,4.2,8.3,802
03-01-2021,PM,CM,16.7,,4.1,8.1,925
03-02-2021,PM,CM,6.31,,4.1,8.1,925
03-06-2021,PM,CM,24.85,,4,8.1,925
03-02-2021,PM,CM,4.37,,4.2,8.2,928
03-01-2021,PM,CM,93.4,,4,8,931
03-02-2021,PM,CM,54.17,,4.2,8.1,931
03-03-2021,PM,CM,117.48,,4,8,931
03-04-2021,PM,CM,96.5,,3.8,8,931
03-05-2021,PM,CM,95.34,,3.8,7.8,931
03-06-2021,PM,CM,91.46,,3.6,8,931
03-02-2021,PM,CM,1.94,,4.2,8.2,933
03-03-2021,PM,CM,1.84,,4.2,8.2,933
03-10-2021,AM,CM,276.6,,4.3,8.4,102
03-11-2021,AM,CM,257.86,,4.4,8.3,102
03-12-2021,AM,CM,286.41,,4.2,8.4,102
03-07-2021,AM,CM,273.98,,4.2,8.4,102
03-08-2021,AM,CM,252.72,,4.4,8.3,102
03-09-2021,AM,CM,316.02,,4.5,8.4,102
03-10-2021,AM,CM,237.28,,4.2,8.6,102
03-11-2021,AM,CM,286.6,,4.3,8.4,105
03-12-2021,AM,CM,293.01,,4.3,8.4,105
03-07-2021,AM,CM,281.55,,4.3,8.6,105
03-08-2021,AM,CM,321.36,,4.3,8.4,105
03-09-2021,AM,CM,308.64,,4.5,8.4,105
03-07-2021,AM,CM,281.07,,4.4,8.6,105
03-08-2021,AM,CM,201.07,,4.2,8.5,105
03-09-2021,AM,CM,159.51,,4.3,8.5,107
03-10-2021,AM,CM,211.65,,4.3,8.4,107
03-11-2021,AM,CM,302.04,,4.2,8.4,107
03-12-2021,AM,CM,202.04,,4.3,8.4,107
03-07-2021,AM,CM,10.29,,4,8.1,107
03-08-2021,AM,CM,10.1,,4,8.2,107
03-09-2021,AM,CM,10.19,,4,8.1,107
03-10-2021,AM,CM,10.29,,4.1,8,305
03-11-2021,AM,CM,10.19,,4.2,8.4,305
03-12-2021,AM,CM,10.19,,4.2,8.3,305
03-12-2021,AM,CM,34.17,,4.2,8.2,305
03-12-2021,AM,CM,37.48,,4,8.2,305
03-07-2021,AM,CM,10.87,,3.9,8,305
03-08-2021,AM,CM,10.39,,3.7,8,305
03-09-2021,AM,CM,7.09,,4,8.2,307
03-11-2021,AM,CM,16.99,,4.1,8.1,307
03-12-2021,AM,CM,6.99,,3.9,8.1,308
03-10-2021,AM,CM,19.03,,4.3,8.4,308
03-11-2021,AM,CM,16.99,,4,8.1,313
03-12-2021,AM,CM,20.97,,4,8,313
03-07-2021,AM,CM,27.96,,4,8.2,313
03-08-2021,AM,CM,16.6,,4.3,8.4,313
03-09-2021,AM,CM,19.03,,4.1,8.1,313
03-11-2021,AM,CM,22.43,,4.1,8.2,315
03-12-2021,AM,CM,21.94,,4.2,8.3,315
03-09-2021,AM,CM,33.5,,4.1,8.2,315
03-10-2021,AM,CM,33.79,,4.2,8.4,315
03-07-2021,AM,CM,37.09,,4,8.1,315
03-08-2021,AM,CM,33.2,,4,8.1,315
03-07-2021,AM,CM,7.57,,4.1,8.2,315
03-08-2021,AM,CM,6.89,,4.2,8.2,316
03-09-2021,AM,CM,7.77,,4.1,8.2,316
03-10-2021,AM,CM,7.09,,4.2,8.2,316
03-11-2021,AM,CM,9.03,,4.2,8.2,316
03-12-2021,AM,CM,7.77,,4.2,8.2,316
03-07-2021,AM,CM,134.56,,4.3,8.4,316
03-08-2021,AM,CM,112.43,,4.4,8.4,316
03-09-2021,AM,CM,112.14,,4.3,8.3,320
03-10-2021,AM,CM,69.32,,4.2,8.4,320
03-11-2021,AM,CM,76.99,,4,8.2,320
03-10-2021,AM,CM,5.44,,4.1,8.1,320
03-11-2021,AM,CM,4.85,,3.9,8,320
03-12-2021,AM,CM,4.95,,3.9,8.1,320
03-07-2021,AM,CM,7.77,,3.8,8.1,320
03-08-2021,AM,CM,5.24,,4,8.1,325
03-09-2021,AM,CM,4.47,,4.2,8.2,325
03-11-2021,AM,CM,43.69,,4,8.2,325
03-12-2021,AM,CM,54.17,,3.6,7.6,325
03-08-2021,AM,CM,58.83,,3.5,7.5,325
03-09-2021,AM,CM,64.08,,3.8,8,701
03-10-2021,AM,CM,40.1,,3.6,7.8,701
03-07-2021,AM,CM,67.09,,3.5,7.5,701
03-07-2021,AM,CM,9.42,,4.2,8.3,701
03-08-2021,AM,CM,9.81,,4,8,701
03-09-2021,AM,CM,9.9,,4.3,8.4,701
03-10-2021,AM,CM,10.49,,4.2,8.3,701
03-11-2021,AM,CM,10.19,,4.2,8.3,702
03-12-2021,AM,CM,10.1,,4,8.4,702
03-09-2021,AM,CM,4.17,,3.9,8.2,702
03-10-2021,AM,CM,5.83,,4,8.1,702
03-12-2021,AM,CM,6.5,,4.1,8.1,702
3-13-2021,PM,CM,1.84,,3.9,8,702
3-19-2021,AM,CM,303.88,,4.3,8.5,702
3-20-2021,AM,CM,319.22,,4.2,8.4,704
3-16-2021,AM,CM,287.09,,4.2,8.5,704
3-17-2021,AM,CM,292.82,,4.2,8.4,704
3-18-2021,AM,CM,296.21,,4.4,8.4,704
3-14-2021,AM,CM,301.26,,4.2,8.4,704
3-15-2021,AM,CM,292.62,,4.3,8.4,704
3-19-2021,AM,CM,279.61,,4.2,8.4,704
3-20-2021,AM,CM,238.35,,4.2,8.4,705
3-16-2021,AM,CM,290.58,,4.3,8.4,705
3-17-2021,AM,CM,239.13,,4.5,8.4,705
3-18-2021,AM,CM,255.34,,4.2,8.3,708
3-14-2021,AM,CM,303.4,,4.2,8.4,708
3-15-2021,AM,CM,318.83,,4.3,8.4,708
3-20-2021,AM,CM,280,,4.3,8.3,708
3-14-2021,AM,CM,199.32,,4.2,8.4,708
3-15-2021,AM,CM,199.71,,4.4,8.3,708
3-16-2021,AM,CM,200.58,,4.3,8.4,708
3-17-2021,AM,CM,238.35,,4.3,8.3,714
3-18-2021,AM,CM,202.33,,4.4,8.4,714
3-19-2021,AM,CM,255.83,,4.4,8.4,714
3-14-2021,AM,CM,10.29,,4.1,8,714
3-15-2021,AM,CM,10.29,,4,8.2,714
3-16-2021,AM,CM,10.29,,4.2,8.1,714
3-17-2021,AM,CM,10.39,,4,8.3,714
3-14-2021,AM,CM,45.15,,4,8.1,715
3-15-2021,AM,CM,36.12,,4.2,8.2,715
3-14-2021,AM,CM,40.49,,4,8.2,715
3-15-2021,AM,CM,39.32,,4.1,8.1,715
3-17-2021,AM,CM,24.56,,4.1,8.1,715
3-18-2021,AM,CM,10.19,,4.2,8.4,715
3-14-2021,AM,CM,15.34,,4,8.1,715
3-16-2021,AM,CM,19.9,,3.9,8.3,716
3-17-2021,AM,CM,25.83,,4,8.3,716
3-18-2021,AM,CM,20.39,,4,8.1,716
3-14-2021,AM,CM,26.8,,4.1,8,716
3-15-2021,AM,CM,25.05,,3.9,8.2,716
3-18-2021,AM,CM,39.71,,4.3,8.4,716
3-15-2021,AM,CM,36.7,,4,8.4,716
3-16-2021,AM,CM,32.72,,4,8.2,719
3-17-2021,AM,CM,39.03,,4.1,8.1,719
3-14-2021,AM,CM,28.83,,4.1,8.1,719
3-14-2021,AM,CM,7.09,,4.2,8.3,719
3-16-2021,AM,CM,6.21,,4.1,8.2,719
3-17-2021,AM,CM,4.27,,4.1,8.2,719
3-18-2021,AM,CM,4.17,,4.2,8.3,719
3-19-2021,AM,CM,2.91,,4,8,721
3-20-2021,AM,CM,3.11,,3.9,8.1,721
3-16-2021,AM,CM,5.05,,4,8.1,721
3-17-2021,AM,CM,3.98,,4,8,721
3-18-2021,AM,CM,4.66,,4.1,8.2,721
3-14-2021,AM,CM,3.98,,4,8.2,721
3-15-2021,AM,CM,4.37,,4,8.1,721
3-20-2021,AM,CM,67.77,,3.5,7.3,722
3-17-2021,AM,CM,71.17,,3.6,7.6,723
3-18-2021,AM,CM,58.25,,3.6,7.7,723
3-19-2021,AM,CM,77.77,,3.7,7.6,723
3-14-2021,AM,CM,66.6,,3.7,7.7,723
3-15-2021,AM,CM,65.73,,3.6,7.7,723
3-16-2021,AM,CM,72.72,,3.5,7.6,723
3-19-2021,AM,CM,32.62,,4.1,8.3,723
3-20-2021,AM,CM,34.85,,4.2,8.3,724
3-14-2021,AM,CM,10,,4.1,8.2,724
3-15-2021,AM,CM,9.51,,4.2,8.3,724
3-16-2021,AM,CM,30.49,,4,8.5,724
3-17-2021,AM,CM,31.55,,4,8.3,724
3-18-2021,AM,CM,31.75,,4,8.2,724
3-17-2021,AM,CM,8.35,,4,8.3,724
3-19-2021,AM,CM,5.15,,3.9,8.3,801
3-15-2021,AM,CM,6.02,,4,8.4,801
3-16-2021,AM,CM,4.37,,4,8,801
3-19-2021,AM,CM,57.57,,4,8.1,801
3-20-2021,AM,CM,56.8,,4.1,8.1,801
3-16-2021,AM,CM,56.6,,4,8.1,801
3-17-2021,AM,CM,54.95,,4.1,8.1,801
3-18-2021,AM,CM,56.7,,4.1,8.1,802
3-14-2021,AM,CM,54.47,,4,8.1,802
3-15-2021,AM,CM,55.63,,4.1,8.1,802
3-19-2021,AM,CM,28.74,,4.3,8.3,802
3-20-2021,AM,CM,26.6,,4.3,8.3,802
3-16-2021,AM,CM,9.71,,4.1,8.3,802
3-17-2021,AM,CM,18.06,,4.2,8.3,802
3-18-2021,AM,CM,18.45,,4.4,8.3,803
3-14-2021,AM,CM,17.18,,4.2,8.3,803
3-15-2021,AM,CM,27.48,,4.2,8.3,928
3-19-2021,AM,CM,29.13,,4.2,8.4,928
3-20-2021,AM,CM,32.62,,4.1,8.4,928
3-16-2021,AM,CM,25.05,,4.4,8.4,931
3-17-2021,AM,CM,18.74,,4.2,8.4,931
3-18-2021,AM,CM,29.61,,4.2,8.2,931
3-14-2021,AM,CM,24.85,,4.2,8.3,931
3-15-2021,AM,CM,19.81,,4.2,8.3,931
3-19-2021,AM,CM,68.06,,4.1,8.4,931
3-20-2021,AM,CM,55.44,,4.1,8.3,931
3-16-2021,AM,CM,66.02,,4.3,8.4,933
3-17-2021,AM,CM,68.93,,4.1,8.3,933
3-18-2021,AM,CM,65.63,,4.1,8.3,933
3-14-2021,AM,CM,58.74,,4.4,8.4,102
3-15-2021,AM,CM,64.17,,4,8.3,102
3-19-2021,AM,CM,23.59,,4,8,102
3-20-2021,AM,CM,31.17,,3.9,8.1,102
3-16-2021,AM,CM,30.78,,4.1,8.2,102
3-17-2021,AM,CM,32.43,,4,8.1,102
3-18-2021,AM,CM,33.98,,4,8.1,102
3-14-2021,AM,CM,27.18,,4,8.1,105
3-15-2021,AM,CM,26.31,,4,8.5,105
3-20-2021,AM,CM,9.32,,4,8.1,105
3-17-2021,AM,CM,12.62,,4.1,8.1,105
3-18-2021,AM,CM,14.95,,4.1,8.1,105
3-19-2021,AM,CM,10,,4,8.1,105
3-14-2021,AM,CM,46.7,,4.1,8.2,105
3-15-2021,AM,CM,3.88,,4.1,8.2,307
3-16-2021,AM,CM,36.6,,4,8.1,307
3-19-2021,AM,CM,13.69,,3.9,8,307
3-20-2021,AM,CM,13.79,,4,8.1,308
3-16-2021,AM,CM,12.52,,4,8.1,308
3-17-2021,AM,CM,13.69,,3.9,8.1,308
3-18-2021,AM,CM,12.04,,3.9,8.2,315
3-14-2021,AM,CM,11.75,,4.1,8.1,315
3-15-2021,AM,CM,13.11,,4,8.1,315
3-19-2021,AM,CM,6.99,,3.7,7.9,315
3-20-2021,AM,CM,7.28,,3.9,7.8,315
3-16-2021,AM,CM,8.25,,3.8,8,315
3-17-2021,AM,CM,8.54,,3.7,7.8,315
3-18-2021,AM,CM,7.77,,3.8,8,316
3-14-2021,AM,CM,7.38,,3.7,7.9,316
3-15-2021,AM,CM,6.8,,3.7,8,316
3-19-2021,AM,CM,195.63,,4.2,8.3,316
3-20-2021,AM,CM,187.77,,4.2,8.4,316
3-16-2021,AM,CM,157.86,,4.2,8.3,316
3-17-2021,AM,CM,140.19,,4.3,8.4,316
3-18-2021,AM,CM,195.15,,4.3,8.3,322
3-14-2021,AM,CM,163.11,,4.3,8.3,322
